Year,Total_126,STD_126,Total_245,STD_245,Total_585,STD_585,Total_370,STD_370,TF
2085,43.90936452,13.89843528,52.37996746,13.62798818,67.84809303,13.68135125,63.62769619,15.60493058,2080-2100
2086,44.0633652,13.85773456,52.60241858,13.37370857,68.34900449,13.34762096,63.93656559,15.56789208,2080-2100
2087,44.17231286,13.89739952,52.45426064,13.52621195,68.42481821,13.35692451,63.82938777,15.43618214,2080-2100
2088,43.68536851,13.78992919,52.29221676,13.89005306,68.77403016,13.0682924,64.4682966,15.30592115,2080-2100
2089,43.74904466,13.99540428,52.43135073,13.59615299,68.81195445,13.03571958,64.87442587,15.09338822,2080-2100
2090,44.00764786,13.68580482,52.25346772,13.52188586,69.3267489,12.66851832,65.2771487,14.92962487,2080-2100
2091,43.84698815,13.9381102,52.93839251,13.39867341,69.64748878,12.43056791,65.51579906,14.73045877,2080-2100
2092,44.5874073,14.10570217,53.7708884,13.14098148,69.7897034,12.32243389,65.79010425,14.70113504,2080-2100
2093,43.6599757,14.19437369,53.68206217,13.19524522,70.1586829,12.06880282,65.58088791,15.01158466,2080-2100
2094,43.54379726,14.41712052,53.08093507,13.79376147,70.42493138,11.6905903,65.74537269,14.90033215,2080-2100
2095,43.93263206,14.09554036,53.97602192,13.24589677,70.81788248,11.33206907,66.20470023,14.63500813,2080-2100
2096,43.96142182,14.14622371,54.2706588,13.1073011,70.92179916,11.30394299,66.32097816,14.46975315,2080-2100
2097,44.13284077,13.85686742,54.26738497,13.184175,71.01368861,11.26706088,66.93915163,14.04537893,2080-2100
2098,45.02833805,13.57822043,54.08430194,13.38111503,71.3758984,10.88958164,66.98303556,14.153083,2080-2100
2099,44.6551916,13.76463675,53.70484103,13.20186581,71.34302252,10.95371283,67.4224725,13.77248909,2080-2100
