,126_1,126_10,245_1,245_10,370_1,370_10,585_1,585_10
2036,2.054921684,20.54921684,2.017689571,20.17689568,2.098312332,20.98312332,2.580276277,25.80276273
2037,2.172941536,21.72941537,1.991722016,19.91722018,2.305898804,23.05898804,2.601390542,26.01390542
2038,2.142729948,21.4272995,1.978408763,19.78408761,2.367595569,23.6759557,2.668968918,26.6896892
2039,2.04160453,20.4160453,2.189464807,21.89464806,2.38217363,23.82173631,2.782667133,27.82667131
2040,2.021472947,20.21472948,2.138052426,21.38052425,2.440876247,24.40876245,2.925000619,29.25000621
2041,2.011363035,20.11363035,2.218690108,22.18690109,2.556031058,25.56031059,2.973768771,29.7376877
2042,2.079196947,20.79196948,2.303835714,23.03835714,2.621549013,26.21549012,3.050342542,30.50342543
2043,2.142909106,21.42909107,2.350774968,23.50774969,2.665788177,26.65788176,3.088758101,30.88758102
2044,2.17028047,21.70280469,2.4146032,24.146032,2.528569113,25.28569114,3.093779191,30.93779193
2045,2.274699306,22.74699309,2.383829548,23.8382955,2.648826879,26.48826879,3.348966331,33.48966332
2046,2.223761949,22.2376195,2.46343691,24.6343691,2.725936088,27.25936088,3.311992952,33.11992953
2047,2.257093413,22.57093413,2.624275455,26.24275457,2.800847207,28.00847208,3.391538576,33.91538574
2048,2.261726766,22.61726764,2.616158692,26.16158696,2.894820412,28.94820409,3.451460548,34.5146055
2049,2.218405103,22.18405105,2.599361347,25.99361348,2.883026858,28.83026857,3.625258469,36.25258469
2050,2.413812937,24.13812939,2.633588057,26.33588058,3.120614294,31.20614293,3.629343562,36.29343563
2051,2.409343712,24.09343711,2.640086327,26.40086328,3.254858141,32.54858144,3.665887938,36.65887941
2052,2.324993511,23.24993512,2.824117182,28.24117183,3.170626337,31.70626338,3.825024755,38.25024754
2053,2.399293072,23.99293075,2.758085103,27.58085103,3.287506148,32.87506149,3.851182851,38.51182854
2054,2.506891289,25.06891291,2.75812966,27.58129659,3.361971991,33.61971989,3.950414158,39.50414158
2055,2.577930474,25.77930476,2.873713948,28.7371395,3.575989987,35.7598999,3.992769484,39.92769486
2056,2.594939397,25.94939401,2.840707787,28.40707788,3.553543233,35.53543235,4.026480039,40.26480039
2057,2.695730139,26.95730139,2.906196621,29.06196622,3.635716853,36.35716857,4.172031516,41.72031516
2058,2.51750472,25.17504718,2.985194439,29.85194438,3.72416981,37.24169811,4.418514503,44.18514504
2059,2.589249597,25.89249598,3.020461162,30.20461163,3.863181537,38.6318154,4.429732831,44.29732828
2060,2.647253952,26.47253955,3.045022358,30.45022359,3.853127211,38.5312721,4.622746223,46.22746225
2061,2.625507465,26.25507468,3.099627622,30.99627622,4.027476338,40.27476336,4.61549275,46.15492752
2062,2.733995008,27.33995011,3.094840134,30.94840137,4.121475372,41.21475374,4.836024726,48.36024726
2063,2.693890313,26.93890317,3.252757557,32.5275756,4.195066421,41.95066425,4.913813245,49.13813248
2064,2.586245809,25.8624581,3.23553253,32.35532529,4.168931628,41.68931634,5.046540862,50.46540859
2065,2.691083742,26.9108374,3.308368708,33.0836871,4.275899147,42.75899149,5.102776499,51.02776498
2066,2.926369013,29.26369016,3.261791743,32.61791744,4.420273807,44.20273809,5.1506794,51.50679402
2067,2.813507046,28.13507046,3.308967409,33.08967413,4.451987601,44.51987604,5.24208616,52.42086162
2068,2.897439381,28.97439384,3.519524088,35.19524088,4.494497263,44.94497265,5.278831682,52.78831687
2069,2.740758703,27.40758701,3.433132505,34.33132502,4.502548075,45.02548077,5.457610431,54.57610436
2070,2.874772482,28.74772484,3.353802106,33.53802107,4.642345129,46.42345128,5.532360931,55.32360932
2071,2.867280728,28.67280729,3.443468964,34.43468965,4.681221157,46.81221159,5.588963808,55.88963808
2072,2.90670121,29.06701208,3.556381984,35.56381984,4.914533485,49.14533487,5.695167834,56.95167838
2073,2.824582207,28.2458221,3.486983441,34.86983438,4.94278622,49.42786221,5.683866664,56.83866663
2074,2.844488082,28.44488085,3.606566604,36.06566604,5.01644551,50.1644551,5.702964182,57.02964176
2075,2.89251737,28.92517371,3.584780764,35.84780765,5.022040453,50.22040453,5.754841206,57.54841203
2076,2.865996283,28.65996286,3.597618835,35.97618836,5.099040245,50.99040246,5.913623719,59.13623721
2077,2.899874327,28.99874326,3.581296616,35.81296617,5.252704106,52.52704108,5.920018706,59.20018708
2078,2.896930011,28.96930013,3.605813988,36.05813989,5.264809899,52.64809899,5.94764781,59.47647809
2079,2.940815245,29.40815247,3.566961924,35.66961926,5.399514463,53.99514462,6.002926329,60.02926327
2080,2.88965896,28.89658962,3.60847066,36.08470662,5.489118161,54.89118162,6.220357579,62.20357579
2081,2.840030806,28.40030805,3.69574236,36.9574236,5.457020375,54.57020378,6.261796986,62.61796984
2082,2.987589552,29.87589549,3.683659845,36.83659844,5.506171529,55.06171529,6.355448756,63.55448762
2083,2.879209812,28.7920981,3.689561461,36.89561462,5.602153525,56.02153526,6.371508505,63.71508501
2084,2.865240208,28.65240209,3.802155447,38.02155448,5.658969339,56.58969342,6.466165242,64.66165247
2085,2.924898217,29.24898219,3.93167948,39.3167948,5.755555482,57.55555486,6.448414588,64.4841458
2086,2.970667886,29.70667888,3.865882638,38.65882637,5.829189456,58.29189455,6.591711771,65.91711768
2087,2.954825239,29.54825242,3.853295182,38.53295182,5.776512929,57.7651293,6.595829233,65.95829236
2088,2.890822165,28.90822166,3.862920434,38.62920437,5.854152664,58.54152669,6.66802703,66.68027029
2089,2.844515242,28.44515242,3.783076944,37.83076944,5.91516546,59.15165465,6.638297216,66.3829721
2090,2.874348833,28.74348834,3.799129153,37.99129152,5.959441291,59.59441295,6.70855231,67.0855231
2091,2.848008838,28.48008837,3.852334346,38.52334348,6.072431902,60.72431908,6.809230569,68.09230569
2092,3.067545354,30.67545355,3.917990589,39.17990591,6.09228406,60.9228406,6.84914353,68.49143528
2093,2.886622542,28.8662254,4.019714766,40.19714764,6.080425824,60.80425824,6.881129781,68.81129782
2094,2.836536085,28.36536086,3.967382821,39.67382821,6.028604527,60.2860452,6.935408318,69.35408313
2095,2.937153388,29.3715339,4.01420435,40.14204351,6.201057809,62.01057807,7.059827806,70.59827805
2096,2.882778814,28.82778817,4.02967704,40.29677041,6.218687916,62.18687914,7.050889686,70.50889683
2097,2.879161362,28.79161363,4.076294201,40.762942,6.358467756,63.58467756,7.038857805,70.38857804
2098,2.980516757,29.80516759,4.032061496,40.32061498,6.381062744,63.81062741,7.16388935,71.63889348
2099,2.985876152,29.85876152,4.003051918,40.0305192,6.437725583,64.37725581,7.096573112,70.9657311
2100,2.9215408,29.21540802,4.061911411,40.61911411,6.398886192,63.98886187,,
